wait,correctSequence,userInput
1,"['15', '8', '85', '17', '61', '19', '52', '18', '73', '49', '11', '42', '13', '84', '57', '7', '99', '12', '37', '90']"," ['11', '15', '99', '21', '18', '13', '35', '30', '88', '87', '12', '23', '24', '26', '34', '57', '98', '97', '91', '92']"
1,"['87', '51', '42', '79', '50', '57', '98', '84', '9', '47', '35', '26', '92', '81', '3', '69', '74', '95', '82', '2']"," ['98', '51', '2', '8', '50', '55', '57', '83', '84', '90', '91', '56', '57', '58', '59', '60', '65', '67', '68', '12']"
1,"['84', '55', '74', '79', '35', '13', '36', '98', '34', '19', '40', '1', '82', '72', '58', '81', '95', '50', '65', '22']"," ['1', '50', '98', '22', '65', '83', '87', '86', '85', '84', '82', '91', '90', '55', '57', '34', '32', '35', '36', '37']"
1,"['3', '52', '46', '60', '35', '59', '5', '74', '92', '6', '4', '2', '12', '81', '54', '23', '29', '33', '87', '21']"," ['2', '87', '3', '4', '6', '8', '9', '22', '31', '34', '36', '32', '26', '27', '28', '29', '60', '50', '56', '54']"
1,"['99', '57', '90', '44', '17', '51', '16', '66', '88', '30', '93', '82', '77', '92', '42', '71', '73', '48', '75', '33']"," ['73', '33', '44', '55', '66', '77', '88', '99', '41', '71', '51', '21', '93', '94', '92', '23', '24', '60', '55', '35']"
1,"['66', '62', '28', '74', '44', '89', '41', '93', '85', '86', '97', '24', '91', '55', '13', '8', '76', '18', '49', '52']"," ['8', '3', '91', '92', '93', '44', '52', '54', '66', '77', '88', '53', '41', '42', '43', '71', '72', '73', '83', '65']"
1,"['96', '65', '88', '95', '23', '52', '27', '18', '9', '64', '26', '61', '22', '81', '16', '70', '24', '56', '3', '46']"," ['3', '9', '18', '22', '24', '23', '28', '29', '91', '92', '93', '94', '96', '97', '48', '52', '53', '54', '60', '40']"
1,"['86', '13', '89', '76', '2', '68', '74', '40', '33', '62', '59', '7', '45', '3', '95', '70', '84', '19', '73', '47']"," ['2', '3', '7', '13', '18', '50', '60', '40', '90', '80', '70', '22', '20', '56', '54', '53', '48', '42', '43', '45']"
1,"['30', '58', '29', '14', '8', '43', '2', '26', '97', '25', '96', '81', '62', '42', '13', '7', '36', '67', '92', '64']"," ['2', '3', '7', '8', '13', '24', '25', '26', '29', '30', '40', '50', '60', '32', '31', '34', '35', '36', '44', '55']"
1,"['4', '29', '56', '78', '70', '10', '14', '25', '26', '1', '37', '24', '58', '46', '40', '87', '84', '15', '85', '31']"," ['1', '3', '9', '14', '24', '25', '26', '33', '31', '40', '50', '60', '30', '32', '18', '15', '13', '14', '16', '17']"